UserID,MovieID,Rating,actual_class,predicted_rating,predicted_class
1803,110,5,Positive,1.3992706957157817,Negative
1029,2791,3,Negative,0.8531150576405839,Negative
1128,1387,3,Negative,0.8115143138577771,Negative
4861,1210,4,Positive,1.5412759160016571,Positive
4446,733,3,Negative,0.6934682129602485,Negative
2299,1580,4,Positive,1.0975768594646886,Negative
5492,1036,4,Positive,0.8715971551331755,Negative
1926,1961,5,Positive,0.6985337119554593,Negative
4535,1270,4,Positive,1.000770881493064,Negative
3740,1196,4,Positive,1.7066354622055881,Positive
2384,377,5,Positive,0.6730623901702136,Negative
4064,318,3,Negative,1.4788455182962748,Negative
216,1200,4,Positive,1.0397185357699934,Negative
3697,2355,4,Positive,0.8122995907506542,Negative
3726,1291,5,Positive,0.8539776115348351,Negative
798,356,5,Positive,0.7533603285994034,Negative
136,2657,4,Positive,0.6272310472019511,Negative
2056,2987,4,Positive,0.7156955663942347,Negative
1943,1090,4,Positive,0.7726777024427511,Negative
4791,47,3,Negative,0.7192432729133096,Negative
3378,912,5,Positive,0.8341378350380851,Negative
2545,2804,5,Positive,0.8170383571357404,Negative
687,1732,5,Positive,0.6839052826090569,Negative
1717,527,5,Positive,1.4647199539378462,Negative
1383,1923,4,Positive,0.6932383373907554,Negative
791,377,5,Positive,0.6730623901702136,Negative
3752,34,5,Positive,0.7627294238242215,Negative
4786,1247,5,Positive,0.8203867946516701,Negative
1538,920,4,Positive,0.7594779924117548,Negative
3626,2268,5,Positive,0.7389021274152336,Negative
4645,908,5,Positive,0.8346630018183658,Negative
4121,2529,5,Positive,0.6706273745792016,Negative
3151,2174,2,Negative,0.7485299395523525,Negative
2507,1610,3,Negative,0.8399020700945078,Negative
4702,2997,4,Positive,0.891210288010446,Negative
1101,1,4,Positive,0.797129428256218,Negative
5852,2997,5,Positive,0.891210288010446,Negative
1472,2797,5,Positive,0.7491865935467631,Negative
5045,3253,3,Negative,0.7026883993160089,Negative
4149,32,4,Positive,0.7259833018734566,Negative
5790,2657,3,Negative,0.6272310472019511,Negative
2638,2657,2,Negative,0.6272310472019511,Negative
5777,1673,4,Positive,0.7245680202329169,Negative
3037,2706,1,Negative,0.7761059954255105,Negative
1389,2640,4,Positive,0.6850651777792033,Negative
2374,527,5,Positive,1.4647199539378462,Negative
2507,3481,4,Positive,0.7163754449251024,Negative
5371,3671,3,Negative,0.7492692600198845,Negative
1851,908,4,Positive,0.8346630018183658,Negative
3822,2321,4,Positive,0.7012478212771996,Negative
4800,2858,5,Positive,1.4874872527632579,Negative
4800,2115,3,Negative,0.8311635635234907,Negative
5847,1219,5,Positive,0.8216946599989859,Negative
2272,3578,5,Positive,0.7833153959002629,Negative
4081,1225,5,Positive,0.775058625426496,Negative
549,1374,4,Positive,0.7412304866850321,Negative
4962,2406,4,Positive,0.7193858657767835,Negative
1451,1721,4,Positive,0.685139091790052,Negative
2585,608,4,Positive,1.3521071369432025,Negative
1820,1374,5,Positive,0.7412304866850321,Negative
53,2194,4,Positive,0.7663785920851014,Negative
3180,1278,5,Positive,0.7647614181290996,Negative
1980,1197,3,Negative,0.9336602309732058,Negative
5846,2858,5,Positive,1.4874872527632579,Negative
2438,2529,5,Positive,0.6706273745792016,Negative
2581,2657,1,Negative,0.6272310472019511,Negative
1275,260,5,Positive,1.7249980565624505,Positive
3580,587,5,Positive,0.6447391216484832,Negative
5534,2987,3,Negative,0.7156955663942347,Negative
406,2716,4,Positive,0.9605440064134316,Negative
1353,1265,5,Positive,0.7689676953856969,Negative
2153,2997,4,Positive,0.891210288010446,Negative
1264,2599,5,Positive,0.782560687159407,Negative
410,1968,4,Positive,0.7790592779381684,Negative
698,1732,5,Positive,0.6839052826090569,Negative
1361,1079,5,Positive,0.8201388177647483,Negative
139,2640,2,Negative,0.6850651777792033,Negative
5091,2115,4,Positive,0.8311635635234907,Negative
5172,111,4,Positive,0.8522342919780109,Negative
5097,1136,5,Positive,0.8039103350841971,Negative
1960,541,5,Positive,1.0420365183285198,Negative
3906,1036,4,Positive,0.8715971551331755,Negative
1000,260,5,Positive,1.7249980565624505,Positive
1722,1214,5,Positive,1.0369600519597655,Negative
4640,2640,3,Negative,0.6850651777792033,Negative
5686,1222,2,Negative,0.7819545650607745,Negative
2380,1393,4,Positive,0.7588983311526017,Negative
462,1270,4,Positive,1.000770881493064,Negative
4368,2985,2,Negative,0.6905957246609433,Negative
4796,1265,3,Negative,0.7689676953856969,Negative
1553,923,3,Negative,0.8870911939418186,Negative
1789,2706,5,Positive,0.7761059954255105,Negative
1779,592,1,Negative,0.7369631668759163,Negative
4411,2640,4,Positive,0.6850651777792033,Negative
1680,3448,5,Positive,0.7019617927531026,Negative
54,1206,4,Positive,0.8084857823733286,Negative
1779,1196,5,Positive,1.7066354622055881,Positive
4899,1721,1,Negative,0.685139091790052,Negative
1171,3623,5,Positive,0.6431509839097863,Negative
2664,1193,4,Positive,0.8716986536201137,Negative
4373,1193,5,Positive,0.8716986536201137,Negative
4724,296,4,Positive,1.245470971688344,Negative
1724,1393,5,Positive,0.7588983311526017,Negative
2572,32,4,Positive,0.7259833018734566,Negative
5250,1198,3,Negative,1.6311593158734736,Positive
